catalogue,site,publisher,licence,status
app.bookteq.com,https://eastmidlandsacademytrust.bookteq.com/api/open-active,East Midlands Academy Trust,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://eireoggaa.bookteq.com/api/open-active,Eire Og GAA,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://elgarparkregionalhockeyassociation.bookteq.com/api/open-active,Elgar Park Regional Hockey Association,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://enfielddrillhallsportsclub.bookteq.com/api/open-active,Enfield Drill Hall Sports Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://featherstonesportscentre.bookteq.com/api/open-active,Featherstone Sports Centre Trust,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://fleetcc.bookteq.com/api/open-active,Mark Allen,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://football567.bookteq.com/api/open-active,Football 567,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://footballsamuraiacademylimited.bookteq.com/api/open-active,Football Samurai Academy Limited ,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://fz2024ltd.bookteq.com/api/open-active,FZ 2024 Ltd,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://gmcommunitylettings.bookteq.com/api/open-active,gmcommunitylettings,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://graveshamlegendsports.bookteq.com/api/open-active,Gravesham Legend Sports Ltd,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://harbornecricketclub.bookteq.com/api/open-active,Harborne Cricket Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://haringeycouncil.bookteq.com/api/open-active,Haringey Council,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://harpurhillsportscentrecic.bookteq.com/api/open-active,Harpur Hill Sports Centre CIC,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://hillviewprimaryschool.bookteq.com/api/open-active,,,ERROR_HTTP_404
app.bookteq.com,https://hythecsc.bookteq.com/api/open-active,Hythe Cricket & Squash Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://idverdecharnwood.bookteq.com/api/open-active,ID Verde Charnwood,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://jmosportslimited.bookteq.com/api/open-active,JMO Sports Limited,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://kingswayparkhighschool.bookteq.com/api/open-active,Kingsway Park High School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://langleygrange.bookteq.com/api/open-active,Langley Grange Pool,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://larkhallsportsclub.bookteq.com/api/open-active,Larkhall Sports Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://lifestylefitness.bookteq.com/api/open-active,Matthew Arnold Sports Centre,https://creativecommons.org/licenses/by/4.0/,COMPLETE
