level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-scheduled-sessions?afterTimestamp=41212763&afterId=00000000000010709487,COMPLETE,0.1,opendata.leisurecloud.live,Conwy,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-facility-uses,COMPLETE,0.15,opendata.leisurecloud.live,Conwy,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-facility-uses?afterTimestamp=35550199&afterId=BIHSQ01,COMPLETE,0.14,opendata.leisurecloud.live,Conwy,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-slots,COMPLETE,0.13,opendata.leisurecloud.live,Conwy,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-slots?afterTimestamp=39319932&afterId=LFTFS20_2026-07-16T17-00-00,COMPLETE,0.17,opendata.leisurecloud.live,Conwy,Slot,
site,https://data.everyoneactive.com/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Everyone Active,,5
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-course-instance,COMPLETE,0.13,opendata.leisurecloud.live,Everyone Active,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-course-instance?afterTimestamp=259997453&afterId=3844R28C1800226,COMPLETE,0.25,opendata.leisurecloud.live,Everyone Active,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-session-series,COMPLETE,0.14,opendata.leisurecloud.live,Everyone Active,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-session-series?afterTimestamp=4818074099&afterId=2051B4307000425,COMPLETE,0.16,opendata.leisurecloud.live,Everyone Active,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-scheduled-sessions,COMPLETE,0.08,opendata.leisurecloud.live,Everyone Active,ScheduledSession,
